model_type,model_name,task,accuracy,f1,pearson,spearman,train_time,params
multi-slm,distilbert,sst2,0.8887614678899083,0.8883171653073377,,,2417.670111179352,66366725
multi-slm,distilbert,qqp,0.878431857531536,0.8712783148434342,,,2417.670111179352,66366725
multi-slm,distilbert,stsb,,,0.87264955,0.8691052022090852,2417.670111179352,66366725
